"@type","@id","accrualPeriodicity","contractOffer","created","customLicenseAsResource","description","keyword","language","modified","publisher","representation","resourceEndpoint","sovereign","spatialCoverage","temporalCoverage","theme","title","dataCategory","mdp:deltaDelivery","geoReferenceMethod","mdp:mdpBrokering","networkCoverage","mdp:publicationId","qualityDescription","mdp:relevantToMDV_PBefG","transportMode","typeOfTermsOfUse","visibility","creationDate","ids:byteSize","fileName","accessURL","endpointArtifact","contractStart","mdp:providerApprovalRequired","instance","mediaType","dataModel","masterSchema","schemaProfileName","dateTime","begin","nutsLocation","nutsLocationLabel","legalForm","legalName","geometry","geometryRepresentation"
"ids:DataResource","https://mobilithek.info//offers/-1305288727/-1980489185/-1147178243","https://w3id.org/idsa/code/EVERY_1_MINUTE","https://w3id.org/idsa/autogen/contractOffer/4eebadd1-10de-4b00-8c66-8e69ee8b3728","2024-09-16T08:50:08.016Z","https://w3id.org/idsa/autogen/textResource/1297a68a-3572-40ec-b837-681f5973716d","Verkehrsdaten von Messstellen auf BAB in Bayern v und q als Minutenwert der fahrspurfeinen Detektoren","#Autobahn;#Autobahnen;#Messstellen","https://w3id.org/idsa/code/DE","2024-10-04T09:41:59.133Z","https://w3id.org/idsa/autogen/participant/47b1a6db-5dfd-4dd6-80a5-b1a2a5ea428d","https://w3id.org/idsa/autogen/dataRepresentation/e3842047-cbb4-4a03-8de5-d76a537073f2","https://w3id.org/idsa/autogen/connectorEndpoint/7c8009e5-1aff-4135-b169-e02b2a2fd095","https://w3id.org/idsa/autogen/participant/d039bb73-305d-401a-90e3-f8c2989b47eb","https://w3id.org/idsa/autogen/nutsLocation/81da68c6-e78d-484d-b447-a38eca371d80;https://w3id.org/idsa/autogen/polygon/04032c09-8949-4a64-abc1-7a2886a75165","https://w3id.org/idsa/autogen/interval/cedff66e-ddee-4d4a-9303-0091db1a916f","http://publications.europa.eu/resource/authority/data-theme/TRAN","Dynamische Messdaten BAB Bayern fahrstreifenfein (ab 10.2024)","https://w3id.org/mdp/schema/data_categories#REALTIME_TRAFFIC_DATA","false","https://w3id.org/mdp/schema/geo_reference_method#METHOD_OTHER","true","https://w3id.org/mdp/schema/network_coverage#MOTORWAYS","748580849261105152","","false","https://w3id.org/mdp/schema/transport_mode#INDIVIDUAL_CAR;https://w3id.org/mdp/schema/transport_mode#INDIVIDUAL_TRUCK","https://w3id.org/mdp/schema/license#LICENSE_RESTRICTED_USE_FREE_OF_CHARGE","http://publications.europa.eu/resource/authority/access-right/PUBLIC","","","","","","","","","","","","","","","","","","","",""
"mdp:AccessRights","http://publications.europa.eu/resource/authority/access-right/PUBLIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ids:CustomMediaType","http://publications.europa.eu/resource/authority/file-type/XML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mdp:GeoRepresentation","http://www.opengis.net/ont/geosparql#wktLiteral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ids:Artifact","https://w3id.org/idsa/autogen/artifact/529dcdd4-d07f-4881-b08e-7708da96bf19","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-09-16T08:50:08.111Z","","","","","","","","","","","","","","","","","","",""
"ids:Artifact","https://w3id.org/idsa/autogen/artifact/b55e1781-0112-408e-91ae-d2e2525527d7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48712","GeoNutzV_130319 (3).pdf","","","","","","","","","","","","","","","","",""
"ids:Artifact","https://w3id.org/idsa/autogen/artifact/eb18e7ac-7300-40b0-9f63-41db287b087d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"ids:ConnectorEndpoint","https://w3id.org/idsa/autogen/connectorEndpoint/7c8009e5-1aff-4135-b169-e02b2a2fd095","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://provider_endpoint","https://w3id.org/idsa/autogen/artifact/529dcdd4-d07f-4881-b08e-7708da96bf19","","","","","","","","","","","","","","",""
"ids:ConnectorEndpoint","https://w3id.org/idsa/autogen/connectorEndpoint/988e8b75-4533-4871-886b-2ec9d8c7a3f8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://mobilithek.info//mdp-api/files/aux/schemas/DATEX_2/Version_2.3/DATEXIISchema_2_2_3.xsd","","","","","","","","","","","","","","","",""
"ids:ConnectorEndpoint","https://w3id.org/idsa/autogen/connectorEndpoint/b0cd8ba3-4bee-40db-af66-c99d79b70bbc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://mobilithek.info//mdp-api/files/aux/748580849261105152/GeoNutzV_130319+%283%29.pdf","","","","","","","","","","","","","","","",""
